"","Longitud","Latitud"
"1",-96.6809013776649,15.7735470830986
"2",-104.293928230556,19.060438225
"3",-103.310111829787,20.6681935808511
"4",-103.422468149705,20.2824756966261
"5",-104.637965326042,24.0415746457482
"6",-116.612717823407,32.5648690919953
"7",-104.903928289993,21.5249381943624
"8",-103.345012,20.7472098571429
"9",-96.7080957231576,18.8317864398647
"10",-103.368218658958,20.6782335225664
"11",-99.1307459992041,19.5065761392834
"12",-109.512076413,26.9809493138981
"13",-116.898518002415,32.4976708291783
"14",-104.846718840236,21.4855836872369
"15",-104.640365373023,24.0084733137421
"16",-103.782500144118,19.3321967382353
"17",-116.953572671154,32.4921365016691
"18",-103.37035527193,20.6275819087719
"19",-100.450654579168,25.6664327204557
"20",-99.1863682349946,19.5371175090008
"21",-106.114947334894,28.734926614142
"22",-103.34126505,19.0554319941176
"23",-99.0078055736197,19.2158126050859
"24",-102.2476043125,20.8813194375
"25",-107.634023093154,24.7461583772215
"26",-102.291261572691,21.8792533627216
"27",-103.274117735205,20.6909178190128
"28",-99.1459879660243,23.7540201901041
"29",-101.942095444444,22.0337070740741
"30",-104.968741470588,21.3323855882353
"31",-100.490390364646,25.6842184009703
"32",-102.197098484375,20.60809734375
"33",-104.005736712121,20.9093543484849
"34",-103.409931731631,20.7279697342467
"35",-91.1243920370542,17.8643236137622
"36",-96.7064986052161,19.5973483422052
"37",-87.9401157051478,20.7206789576506
"38",-105.877627282957,31.2385647848648
"39",-87.0825731764412,20.6275320334349
"40",-104.983105571429,21.5453993809524
"41",-98.1846885650912,19.2657130943491
"42",-102.612527424136,20.4394132562762
"43",-105.977353024563,28.9525083028522
"44",-100.321555206416,25.785494832492
"45",-104.370577196721,20.1451986557377
"46",-111.011420824574,29.0998524100027
"47",-96.7063884216758,17.0610206515249
"48",-88.1454830894298,20.8094219587232
"49",-102.208972269771,17.9858967238567
"50",-103.424797532006,20.732029461919
"51",-116.61065666968,31.8813549812031
"52",-101.196753039955,20.4286000623574
"53",-99.1302735634928,19.2173783063493
"54",-105.328118741425,22.63343346323
"55",-104.782085296296,21.0643215185185
"56",-99.0346166016939,19.3928221041874
"57",-92.9128025345299,17.9972045046781
"58",-101.71207650497,21.1409971777875
"59",-103.244593468648,20.6237875211771
"60",-116.579970409091,31.7184627
