cvegeo,tipo,Longitud,Latitud,estado_num
1701100090067026,Típica,-99.15296587342621,18.8837276266237,17
1702801040632142,Típica,-99.2271055137294,18.768304705844,17
1702801040632141,Típica,-99.2274227879522,18.7684544368811,17
1702801040632140,Típica,-99.227743331808,18.768597765447304,17
1702801040632139,Típica,-99.2287078497415,18.7673291906338,17
1702801040632067,Típica,-99.22833862599951,18.767503684786302,17
1701200370647800,Caserío Disperso,-99.1882051133593,18.6472685601666,17
1702700040033800,Caserío Disperso,-98.9490281886006,18.9864416945645,17
1702500230109800,Caserío Disperso,-99.1573802096495,18.6556725811931,17
1700600640298800,Caserío Disperso,-98.9701879849744,18.8119697857683,17
1701100760457800,Caserío Disperso,-99.1519018767323,18.8737056465455,17
1701100340457800,Caserío Disperso,-99.154804095612,18.852544105932,17
1700401600147800,Caserío Disperso,-98.9682797535942,18.7342237974115,17
1702000670085800,Caserío Disperso,-99.0711510140362,18.964009433899697,17
170240128039A800,Caserío Disperso,-99.1815548599863,18.6769618718624,17
170290077024A800,Caserío Disperso,-99.0448241108672,18.882327052864,17
1700400240147800,Caserío Disperso,-98.98472089359991,18.680830077352397,17
170290162024A800,Caserío Disperso,-99.0157584658691,18.9077477012369,17
1701900130099800,Caserío Disperso,-98.83866985101791,18.606760193689603,17
1700601340442800,Caserío Disperso,-98.93906557989192,18.788585654984697,17
1700300090050800,Caserío Disperso,-98.7894641820206,18.524141462425302,17
1700100190041800,Caserío Disperso,-99.4141820039836,18.6076655983922,17
1702500070132800,Caserío Disperso,-99.1200363666996,18.5193438747546,17
1702700120033800,Caserío Disperso,-98.9388826774724,18.978546452012104,17
1701000280055800,Caserío Disperso,-98.7736981893866,18.678544196014,17
1702800970100010,Típica,-99.24714100802241,18.781740561335603,17
1701900110084800,Caserío Disperso,-98.9608348222287,18.639023116280104,17
1700900900054800,Caserío Disperso,-99.23826814097679,19.0203494151968,17
1701800370335800,Caserío Disperso,-99.2496623520452,18.8481948458833,17
1702700070033800,Caserío Disperso,-98.92325366361999,18.973607209248396,17
1702200030056800,Caserío Disperso,-98.74102682033251,18.915531622906197,17
1702500150128800,Caserío Disperso,-99.1908621225365,18.5155915480707,17
1702800970100009,Típica,-99.246825593432,18.7816280024495,17
